N=100000, MAXIT=50000, TOL=0.000100, PRINT_SKIP=100, GAUSS_SEIDEL=true
     k,      res,      solres
     43200, 315.178765,  28.866411
     43300, 315.177547,  28.866408
     43400, 315.176331,  28.866405
     43500, 315.175117,  28.866402
     43600, 315.173904,  28.866399
     43700, 315.172692,  28.866396
     43800, 315.171482,  28.866393
     43900, 315.170273,  28.866391
     44000, 315.169065,  28.866388
     44100, 315.167859,  28.866385
     44200, 315.166654,  28.866382
     44300, 315.165451,  28.866379
     44400, 315.164248,  28.866376
     44500, 315.163048,  28.866373
     44600, 315.161848,  28.866370
     44700, 315.160650,  28.866367
     44800, 315.159453,  28.866365
     44900, 315.158258,  28.866362
     45000, 315.157064,  28.866359
     45100, 315.155871,  28.866356
     45200, 315.154679,  28.866353
     45300, 315.153489,  28.866350
     45400, 315.152300,  28.866347
     45500, 315.151113,  28.866344
     45600, 315.149927,  28.866341
     45700, 315.148742,  28.866339
     45800, 315.147558,  28.866336
     45900, 315.146376,  28.866333
     46000, 315.145195,  28.866330
     46100, 315.144015,  28.866327
     46200, 315.142836,  28.866324
     46300, 315.141659,  28.866321
     46400, 315.140483,  28.866318
     46500, 315.139308,  28.866316
     46600, 315.138135,  28.866313
     46700, 315.136962,  28.866310
     46800, 315.135791,  28.866307
     46900, 315.134622,  28.866304
     47000, 315.133453,  28.866301
     47100, 315.132286,  28.866298
     47200, 315.131120,  28.866295
     47300, 315.129955,  28.866292
     47400, 315.128791,  28.866290
     47500, 315.127629,  28.866287
     47600, 315.126468,  28.866284
     47700, 315.125308,  28.866281
     47800, 315.124149,  28.866278
     47900, 315.122992,  28.866275
     48000, 315.121836,  28.866272
     48100, 315.120681,  28.866269
     48200, 315.119527,  28.866266
     48300, 315.118374,  28.866264
     48400, 315.117222,  28.866261
     48500, 315.116072,  28.866258
     48600, 315.114923,  28.866255
     48700, 315.113775,  28.866252
     48800, 315.112628,  28.866249
     48900, 315.111483,  28.866246
     49000, 315.110338,  28.866243
     49100, 315.109195,  28.866240
     49200, 315.108053,  28.866238
     49300, 315.106912,  28.866235
     49400, 315.105772,  28.866232
     49500, 315.104633,  28.866229
     49600, 315.103496,  28.866226
     49700, 315.102359,  28.866223
     49800, 315.101224,  28.866220
     49900, 315.100090,  28.866217
     50000, 315.098957,  28.866214
time = 17.974505
